iter	Passed	Remaining
669	1884	927
670	1884	924
671	1885	920
672	1892	919
673	1893	915
674	1896	913
675	1897	909
676	1897	905
677	1898	901
678	1903	900
679	1904	896
680	1906	892
681	1928	899
682	1929	895
683	1929	891
684	1930	887
685	1931	883
686	1931	880
687	1932	876
688	1933	872
689	1934	869
690	1940	867
691	1941	863
692	1944	861
693	1944	857
694	1945	853
695	1946	850
696	1947	846
697	1948	842
698	1949	839
699	1949	835
700	1950	831
701	1951	828
702	1951	824
703	1952	820
704	1953	817
705	1954	813
706	1959	812
707	1979	816
708	1980	812
709	1981	809
710	1981	805
711	1982	801
712	1983	798
713	2005	803
714	2006	799
715	2020	801
716	2020	797
717	2021	793
718	2022	790
719	2023	786
720	2023	783
721	2024	779
722	2025	775
723	2026	772
724	2049	777
725	2050	773
726	2051	770
727	2051	766
728	2052	762
729	2053	759
730	2053	755
731	2056	753
732	2057	749
733	2058	745
734	2059	742
735	2059	738
736	2060	735
737	2063	732
738	2064	729
739	2067	726
740	2070	723
741	2071	720
742	2071	716
743	2072	713
744	2073	709
745	2073	706
746	2076	703
747	2077	699
748	2078	696
749	2081	693
750	2084	691
751	2085	687
752	2086	684
753	2086	680
754	2089	678
755	2090	674
756	2093	672
757	2094	668
758	2095	665
759	2098	662
760	2098	659
761	2101	656
762	2104	653
763	2105	650
764	2106	646
765	2106	643
766	2129	646
767	2130	643
768	2138	642
769	2141	639
770	2156	640
771	2156	636
772	2157	633
773	2170	633
774	2171	630
775	2171	626
776	2172	623
777	2173	620
778	2176	617
779	2179	614
780	2180	611
781	2180	607
782	2181	604
783	2184	601
784	2189	599
785	2190	596
786	2191	593
787	2191	589
788	2200	588
789	2203	585
790	2204	582
791	2204	579
792	2211	577
793	2212	574
794	2213	570
795	2216	568
796	2221	565
797	2222	562
798	2223	559
799	2224	556
800	2229	553
801	2230	550
802	2231	547
803	2232	544
804	2235	541
805	2238	538
806	2242	536
807	2245	533
808	2246	530
809	2254	528
810	2261	527
811	2262	523
812	2265	521
813	2268	518
814	2275	516
815	2275	513
816	2276	509
817	2277	506
818	2278	503
819	2281	500
820	2294	500
821	2294	496
822	2308	496
823	2309	493
824	2318	491
825	2319	488
826	2324	486
827	2329	483
828	2330	480
829	2333	477
830	2333	474
831	2334	471
832	2335	468
833	2336	464
834	2336	461
835	2337	458
836	2338	455
837	2354	455
838	2360	452
839	2363	450
840	2363	446
841	2366	444
842	2367	440
843	2368	437
844	2369	434
845	2369	431
846	2372	428
847	2373	425
848	2374	422
849	2374	419
850	2375	415
851	2376	412
852	2379	410
853	2380	406
854	2381	403
855	2381	400
856	2403	401
857	2404	397
858	2407	395
859	2407	391
860	2408	388
861	2409	385
862	2416	383
863	2421	381
864	2422	378
865	2425	375
866	2428	372
867	2433	370
868	2434	366
869	2434	363
870	2443	361
871	2444	358
872	2444	355
873	2445	352
874	2446	349
875	2447	346
876	2447	343
877	2448	340
878	2451	337
879	2452	334
880	2453	331
881	2456	328
882	2459	325
883	2460	322
884	2460	319
885	2464	317
886	2464	314
887	2465	310
888	2466	307
889	2470	305
890	2480	303
891	2481	300
892	2482	297
893	2482	294
894	2486	291
895	2486	288
896	2489	285
897	2490	282
898	2491	279
899	2491	276
900	2494	274
901	2498	271
902	2499	268
903	2499	265
904	2512	263
905	2513	260
906	2514	257
907	2531	256
908	2532	253
909	2540	251
910	2541	248
911	2542	245
912	2551	243
913	2551	240
914	2552	237
915	2553	234
916	2554	231
917	2555	228
918	2557	225
919	2558	222
920	2559	219
921	2560	216
922	2563	213
923	2564	210
924	2565	207
925	2566	205
926	2569	202
927	2572	199
928	2573	196
929	2574	193
930	2575	190
931	2603	189
932	2621	188
933	2622	185
934	2623	182
935	2624	179
936	2625	176
937	2626	173
938	2630	170
939	2631	167
940	2632	165
941	2641	162
942	2642	159
943	2643	156
944	2644	153
945	2645	151
946	2646	148
947	2649	145
948	2652	142
949	2653	139
950	2654	136
951	2655	133
952	2655	130
953	2656	128
954	2657	125
955	2657	122
956	2658	119
957	2661	116
958	2665	113
959	2668	111
960	2687	109
961	2688	106
962	2689	103
963	2689	100
964	2690	97
965	2691	94
966	2691	91
967	2692	89
968	2707	86
969	2708	83
970	2708	80
971	2710	78
972	2711	75
973	2712	72
974	2713	69
975	2726	67
976	2729	64
977	2730	61
978	2732	58
979	2733	55
980	2734	52
981	2735	50
982	2736	47
983	2738	44
984	2742	41
985	2763	39
986	2764	36
987	2766	33
988	2767	30
989	2767	27
990	2774	25
991	2777	22
992	2782	19
993	2783	16
994	2784	13
995	2793	11
996	2794	8
997	2801	5
998	2801	2
999	2802	0
