iter	CrossEntropy
232	0.3732754984
233	0.3702879466
234	0.3702879237
235	0.3693321244
236	0.3693321135
237	0.369324759
238	0.3693247563
239	0.3688258375
240	0.3658856548
241	0.3658856357
242	0.3658856353
243	0.3658856348
244	0.3658856344
245	0.3650082155
246	0.3597387097
247	0.3597386996
248	0.3597386881
249	0.3597386769
250	0.3582671861
251	0.3563231391
252	0.3512639333
253	0.3500325271
254	0.3438873905
255	0.3430977158
256	0.3424983276
257	0.3419652172
258	0.3419652088
259	0.3419652005
260	0.3419651997
261	0.3393875271
262	0.3393073733
263	0.3368745574
264	0.336874534
265	0.3368744265
266	0.3361929502
267	0.3361928688
268	0.3361696371
269	0.3361696306
270	0.3361695946
271	0.3361695762
272	0.3359202089
273	0.3348115408
274	0.3345185277
275	0.3345185171
276	0.3345184983
277	0.33347746
278	0.3334774468
279	0.3334773981
280	0.3332388186
281	0.3332388113
282	0.3332387527
283	0.3332386979
284	0.331649421
285	0.3309648007
286	0.3309647966
287	0.3309647949
288	0.3309647908
289	0.33096479
290	0.330691985
291	0.3306919833
292	0.3290037846
293	0.3290037846
294	0.3290037846
295	0.3290037846
296	0.3287965647
297	0.3284454675
298	0.3284454674
299	0.3284454674
300	0.3284454672
301	0.3284454671
302	0.328445467
303	0.3284454669
304	0.3284454668
305	0.3284454668
306	0.3284454668
307	0.3284454667
308	0.3284454666
309	0.3284454665
310	0.3284454664
311	0.3284454663
312	0.3284454663
313	0.3284454662
314	0.3284454661
315	0.3275506322
316	0.327550632
317	0.3269896334
318	0.3269896318
319	0.326989631
320	0.3269896296
321	0.3240232734
322	0.3240232702
323	0.32383497
324	0.3238349674
325	0.3238116298
326	0.323811624
327	0.3238116212
328	0.3232629232
329	0.3232555348
330	0.3232555345
331	0.3226844574
332	0.3219671781
333	0.3211523049
334	0.3211512683
335	0.3211512668
336	0.3208372778
337	0.3204769496
338	0.320476927
339	0.3204769132
340	0.3204769101
341	0.3196611502
342	0.3196611336
343	0.3196611196
344	0.3196611058
345	0.3194621672
346	0.3194621279
347	0.3193314369
348	0.3193314365
349	0.3193314351
350	0.3188912915
351	0.3182863855
352	0.3182863818
353	0.3176127958
354	0.3176127922
355	0.3173316845
356	0.3173316746
357	0.3173316728
358	0.3169366153
359	0.316834545
360	0.3168345151
361	0.3168344998
362	0.3168344726
363	0.3126503402
364	0.3126503401
365	0.3126503388
366	0.3117104472
367	0.3075353778
368	0.3075345396
369	0.307381293
370	0.3073812922
371	0.3073812914
372	0.3073812913
373	0.3073812909
374	0.3073812902
375	0.3073812899
376	0.3069815202
377	0.3064404226
378	0.3062134592
379	0.3062134592
380	0.3060706194
381	0.3060706194
382	0.3055427412
383	0.305542741
384	0.3055133619
385	0.3055133617
386	0.3055133609
387	0.3055133607
388	0.3053787776
389	0.3053787767
390	0.3053787758
391	0.3053787758
392	0.3022508626
393	0.3022508619
394	0.3022508613
395	0.3022508608
396	0.3016105022
397	0.3016105022
398	0.3007356906
399	0.2970501658
400	0.2970501657
401	0.2960120573
402	0.2957030324
403	0.2932467829
404	0.2932467793
405	0.2932467785
406	0.2932467776
407	0.2931709444
408	0.293170923
409	0.2931709104
410	0.2924322526
411	0.2922608112
412	0.2922608052
413	0.2922608027
414	0.2922607904
415	0.292260786
416	0.2922607854
417	0.2922607848
418	0.2920002231
419	0.2918928339
420	0.2918928326
421	0.2918928287
422	0.2914942338
423	0.2913774208
424	0.2913774199
425	0.2913774162
426	0.2913774128
427	0.2912661902
428	0.2912661897
429	0.2908785384
430	0.2899909893
431	0.2887724624
432	0.2887724622
433	0.288772462
434	0.288664374
435	0.2885396204
436	0.2883806423
437	0.288380642
438	0.2883806416
439	0.2883806416
440	0.2883806413
441	0.288380641
442	0.2883806407
443	0.2874485638
444	0.2874107734
445	0.2872794771
446	0.2872794748
447	0.2872794726
448	0.2872794716
449	0.28727947
450	0.28727947
451	0.28727947
452	0.28727947
453	0.2872794699
454	0.2872794689
455	0.2872794681
456	0.2868156757
457	0.2868156751
458	0.2868156732
459	0.2867065739
460	0.28640275
461	0.2864027483
462	0.283769616
463	0.2837696123
464	0.2837696118
465	0.2837696097
466	0.2837696064
467	0.2837696055
468	0.2836597888
469	0.2836597878
470	0.2836597862
471	0.2836597858
472	0.2836597855
473	0.2836597848
474	0.2836597847
475	0.2836597838
476	0.2833353765
477	0.2833353758
478	0.283303884
479	0.2833038817
480	0.283204133
481	0.2832041319
482	0.2832041292
483	0.2832041291
484	0.282928186
485	0.2829281859
486	0.2829281849
487	0.2826814598
488	0.2826814591
489	0.2825837687
490	0.2825837665
491	0.2822181124
492	0.2822181088
493	0.2822181049
494	0.281891952
495	0.2818919497
496	0.2818919493
497	0.2818919484
498	0.281891948
499	0.2818919458
500	0.2818919439
501	0.2818919407
502	0.2818919401
503	0.2818266684
504	0.2816319117
505	0.2816319068
506	0.2815378939
507	0.2815378935
508	0.2815378932
509	0.2815378894
510	0.2813329285
511	0.2813329261
512	0.2813294679
513	0.2813294635
514	0.2813294629
515	0.28132946
516	0.2813294595
517	0.2813294569
518	0.2809990631
519	0.280999057
520	0.280999055
521	0.2807429889
522	0.2807429874
523	0.2807429867
524	0.2807429842
525	0.2807429829
526	0.2805468814
527	0.2805468757
528	0.2805468725
529	0.2805468702
530	0.2805468655
531	0.2805468564
532	0.2805468504
533	0.2805468422
534	0.2805468396
535	0.2805468391
536	0.2805468371
537	0.2768159565
538	0.2767454483
539	0.2767454417
540	0.2746946885
541	0.2746946834
542	0.2746946791
543	0.274694679
544	0.274694679
545	0.2746946789
546	0.2746946789
547	0.2741755417
548	0.2741755261
549	0.273538078
550	0.2735378231
551	0.2735377847
552	0.2735377698
553	0.2735377538
554	0.2705306026
555	0.2705305917
556	0.2705305913
557	0.270530591
558	0.2705305882
559	0.2705305107
560	0.2705304615
561	0.2702768962
562	0.2702768931
563	0.2702768701
564	0.2702768004
565	0.2702767946
566	0.2702767834
567	0.2702767694
568	0.2693114289
569	0.2688046365
570	0.2688046164
571	0.2688046162
572	0.2688046159
573	0.2688046157
574	0.2688000291
575	0.2679423827
576	0.2678820866
577	0.2678820537
578	0.2676355625
579	0.2676355289
580	0.2675594149
581	0.2673717339
582	0.2673717163
583	0.2673717133
584	0.2668507644
585	0.2668507639
586	0.2668465896
587	0.2666367728
588	0.2666367397
589	0.2635275145
590	0.2635274624
591	0.2635274189
592	0.2635274015
593	0.2635273686
594	0.2635273671
595	0.263288241
596	0.2632882376
597	0.2632882048
598	0.2632881852
599	0.2632881482
600	0.263288135
601	0.2632881162
602	0.2632881158
603	0.2632881154
604	0.2631675321
605	0.2630022761
606	0.2629574958
607	0.2628846882
608	0.2628846655
609	0.2628846608
610	0.2628846561
611	0.2612849256
612	0.2612189123
613	0.2612188946
614	0.2612188825
615	0.2612187987
616	0.2611567299
617	0.2611567246
618	0.26109883
619	0.261097232
620	0.2610972308
621	0.2609145063
622	0.260914489
623	0.2609144867
624	0.2609002935
625	0.2607206797
626	0.2607206721
627	0.2607190674
628	0.2606583692
629	0.2604544415
630	0.260397874
631	0.2603978624
632	0.2603978619
633	0.2603978614
634	0.2603978455
635	0.260397824
636	0.2603446539
637	0.2603446464
638	0.2602876979
639	0.2602876909
640	0.2602876874
641	0.2602876632
642	0.2600710126
643	0.2599456998
644	0.2599456943
645	0.2598106799
646	0.2598106793
647	0.2598106787
648	0.2598106737
649	0.2598106616
650	0.2598106592
651	0.2598106532
652	0.259809029
653	0.2598090128
654	0.2595646843
655	0.2595646733
656	0.2595646694
657	0.2595646588
658	0.2595646533
659	0.2595646523
660	0.2595646514
661	0.2595575856
662	0.2595575708
663	0.2595575659
664	0.2594076215
665	0.2594076162
666	0.2594076158
667	0.2594022832
668	0.2594022815
669	0.2593758771
670	0.2593758739
671	0.2593758737
672	0.2592425501
673	0.2591936126
674	0.2591910816
675	0.2591910785
676	0.2591910769
677	0.2591910754
678	0.2588740379
679	0.2588740287
680	0.258678871
681	0.2557694891
682	0.2557694804
683	0.2557694678
684	0.2557694663
685	0.2557694276
686	0.2557694248
687	0.2557693946
688	0.2557693868
689	0.2557693756
690	0.2554900924
691	0.2554900869
692	0.2554347848
693	0.2554347823
694	0.2553981201
695	0.2553636477
696	0.2553636384
697	0.2553636372
698	0.2553636366
699	0.2553636364
700	0.2553636268
701	0.2553636265
702	0.2553636242
703	0.255363622
704	0.2552457701
705	0.2552457643
706	0.2552350966
707	0.2537708208
708	0.2537708174
709	0.2537708155
710	0.2537708151
711	0.2537708088
712	0.2537708074
713	0.2529766085
714	0.252976605
715	0.2527452267
716	0.2527452244
717	0.2527452243
718	0.2527452241
719	0.252745224
720	0.2527452238
721	0.2527452237
722	0.2527452206
723	0.252745218
724	0.2502002127
725	0.2502002089
726	0.2502002049
727	0.2502002013
728	0.2502001978
729	0.2502001937
730	0.250200189
731	0.2502001863
732	0.2502001855
733	0.2501572321
734	0.2501572288
735	0.2501572231
736	0.2501572103
737	0.2501177115
738	0.2501177095
739	0.2500926394
740	0.2500809542
741	0.2500809499
742	0.2500809496
743	0.2500809484
744	0.2500809467
745	0.2500809464
746	0.2499859334
747	0.2499859311
748	0.2499859256
749	0.2499815422
750	0.2499702681
751	0.249970268
752	0.249970268
753	0.249970268
754	0.249968795
755	0.2499687931
756	0.2498624397
757	0.2498624394
758	0.2496987005
759	0.2496986792
760	0.2496986776
761	0.249661107
762	0.2496246986
763	0.2496246958
764	0.2496246931
765	0.2496246919
766	0.2472562199
767	0.2472562177
768	0.2472534205
769	0.2472170413
770	0.2462331015
771	0.2462331013
772	0.2462331011
773	0.2458391875
774	0.2458391842
775	0.2458391819
776	0.2458391819
777	0.2458391819
778	0.2458110695
779	0.2456727796
780	0.2456727794
781	0.2456727791
782	0.2456727789
783	0.245642227
784	0.2456421959
785	0.2456421875
786	0.2456421859
787	0.2456421836
788	0.2434698568
789	0.243467514
790	0.2434674965
791	0.2434674965
792	0.2431342742
793	0.2431342626
794	0.2431342549
795	0.2431238902
796	0.2429274187
797	0.2429274138
798	0.2429274105
799	0.2429274035
800	0.2426039806
801	0.2426039609
802	0.2426039591
803	0.2426039525
804	0.2425712134
805	0.2424363856
806	0.242369166
807	0.2423377716
808	0.2423377587
809	0.2419585899
810	0.2418355174
811	0.2418355171
812	0.2416839248
813	0.24158825
814	0.2415576552
815	0.2415576448
816	0.2415576411
817	0.241484284
818	0.2414842804
819	0.2414576131
820	0.2408916731
821	0.2408916679
822	0.2397355726
823	0.2397355694
824	0.2396196335
825	0.2396196192
826	0.2394071595
827	0.2393112749
828	0.2393112645
829	0.239194245
830	0.2391942448
831	0.2391942447
832	0.2391942445
833	0.2391942433
834	0.239194233
835	0.2391942324
836	0.2391942319
837	0.23810723
838	0.2380028363
839	0.2380028333
840	0.2380028272
841	0.2379752301
842	0.2379153758
843	0.2379153537
844	0.2379153461
845	0.2379153447
846	0.2379153419
847	0.2379153406
848	0.2379153393
849	0.2379153341
850	0.2379153315
851	0.237810248
852	0.2378102406
853	0.2378102382
854	0.2378102322
855	0.237810231
856	0.2359154977
857	0.235915495
858	0.2358914917
859	0.2358914915
860	0.2358614854
861	0.2358614767
862	0.2357603681
863	0.2357176642
864	0.2357176639
865	0.2356772742
866	0.2356772692
867	0.2356763674
868	0.2356763664
869	0.2356763655
870	0.2333124319
871	0.2333124276
872	0.2333124265
873	0.2333124243
874	0.2333124183
875	0.2333124152
876	0.2333124147
877	0.2333124141
878	0.233255619
879	0.233255618
880	0.233255617
881	0.2331202645
882	0.2331128251
883	0.2331128246
884	0.2331128122
885	0.2330602795
886	0.2330602795
887	0.2330602795
888	0.2330348697
889	0.2327268312
890	0.2325579219
891	0.2325579217
892	0.2325579215
893	0.2325579214
894	0.2325047594
895	0.2325047591
896	0.2325006496
897	0.2325006414
898	0.2325006397
899	0.2325006386
900	0.2324869895
901	0.2323945565
902	0.2323945549
903	0.2323945538
904	0.2313095016
905	0.2313095013
906	0.2313094961
907	0.2300619238
908	0.230061923
909	0.2300018787
910	0.2299794717
911	0.2299794717
912	0.2298458755
913	0.2298458597
914	0.2298458559
915	0.229845831
916	0.2298302614
917	0.229830261
918	0.2298302607
919	0.2298302593
920	0.229830258
921	0.2298302516
922	0.2298292313
923	0.2298292287
924	0.2298292227
925	0.2298292076
926	0.2298275241
927	0.2298275199
928	0.2298275188
929	0.2298275135
930	0.2298275076
931	0.2269492534
932	0.2252685297
933	0.2252685135
934	0.2252685127
935	0.2252685118
936	0.225268511
937	0.2252685076
938	0.2252659866
939	0.2252659616
940	0.2252659531
941	0.22508059
942	0.2250805839
943	0.2250805781
944	0.2250805773
945	0.2250617041
946	0.2250616959
947	0.2250536544
948	0.2250536537
949	0.2250536531
950	0.2250536467
951	0.2250376837
952	0.2250376766
953	0.2250376766
954	0.2250376766
955	0.2250376766
956	0.2250376766
957	0.225012084
958	0.2250045401
959	0.2250045315
960	0.2239958786
961	0.2239958778
962	0.223995877
963	0.2239958739
964	0.2239958681
965	0.2239958609
966	0.2239958605
967	0.2239958466
968	0.223565448
969	0.2235654477
970	0.2235654426
971	0.2235654229
972	0.2235654159
973	0.2235654159
974	0.2235654158
975	0.2211870081
976	0.2211311496
977	0.2210855075
978	0.2210855073
979	0.2210855072
980	0.2210855071
981	0.221085507
982	0.221085507
983	0.221072953
984	0.2210729519
985	0.2180095373
986	0.2180095215
987	0.2180095178
988	0.2180095094
989	0.218009499
990	0.2179841421
991	0.2179658778
992	0.217928163
993	0.2179281617
994	0.2176698512
995	0.2167511233
996	0.216751123
997	0.2165785262
998	0.216578524
999	0.2165785235
